Dataset,System,MRR,Recall@5
CogniSync_v1.0,CogniSync,0.8396666666666667,1.0
CogniSync_v1.0,Dense,1.0,1.0
CogniSync_v1.0,Hybrid_Naive,0.856,1.0
CogniSync_v1.0,Lexical,0.741,1.0
CogniSync_v1.0,Vanilla_RAG,1.0,1.0
code_search_net,CogniSync,0.9938444444444444,0.9982666666666666
code_search_net,Dense,0.9980855555555556,0.9996666666666667
code_search_net,Hybrid_Naive,0.9948755555555555,0.9992666666666666
code_search_net,Lexical,0.9886488888888889,0.9944
code_search_net,Vanilla_RAG,0.9980855555555556,0.9996666666666667
ms_marco,CogniSync,0.473753359211705,0.8097126837198501
ms_marco,Dense,0.5434673700275372,0.8673501210975083
ms_marco,Hybrid_Naive,0.4986314322683388,0.8329036860090905
ms_marco,Lexical,0.3748896851464782,0.7180883182376165
ms_marco,Vanilla_RAG,0.5434673700275372,0.8673501210975083
sciq,CogniSync,0.9671062434808523,0.9868126955744301
sciq,Dense,0.9823684994784682,0.9932945909700491
sciq,Hybrid_Naive,0.9715988675309194,0.9906124273580689
sciq,Lexical,0.9536022947399793,0.9763075547608404
sciq,Vanilla_RAG,0.9823684994784682,0.9932945909700491
squad,CogniSync,0.95714,0.991
squad,Dense,0.99075,0.9994
squad,Hybrid_Naive,0.97065,0.9982
squad,Lexical,0.9337733333333333,0.9764
squad,Vanilla_RAG,0.99075,0.9994
